grain,level,horizon_days,quantile,feature,importance
Search,campaign_type,60,0.1,dow_Wednesday,-0.0491
Search,campaign_type,60,0.5,spend,-8.4404
Search,campaign_type,60,0.5,spend_lag_1,198.4603
Search,campaign_type,60,0.5,spend_lag_7,105.3699
Search,campaign_type,60,0.5,spend_lag_14,38.3418
Search,campaign_type,60,0.5,spend_rolling_mean_7d,162.1728
Search,campaign_type,60,0.5,spend_rolling_mean_14d,171.8999
Search,campaign_type,60,0.5,spend_rolling_mean_30d,163.1716
Search,campaign_type,60,0.5,revenue_rolling_mean_7d,-70.4019
Search,campaign_type,60,0.5,revenue_rolling_mean_14d,-7.898
Search,campaign_type,60,0.5,revenue_rolling_mean_30d,-106.8498
Search,campaign_type,60,0.5,spend_share_of_total,105.6856
Search,campaign_type,60,0.5,days_since_start,0.0
Search,campaign_type,60,0.5,month_sin,0.0
Search,campaign_type,60,0.5,month_cos,0.0
Search,campaign_type,60,0.5,dayofmonth_sin,11.2101
Search,campaign_type,60,0.5,dayofmonth_cos,23.4845
Search,campaign_type,60,0.5,is_weekend,-0.1145
Search,campaign_type,60,0.5,target_spend_60d,528.4359
Search,campaign_type,60,0.5,dow_Monday,3.439
Search,campaign_type,60,0.5,dow_Saturday,0.4636
Search,campaign_type,60,0.5,dow_Sunday,2.1505
Search,campaign_type,60,0.5,dow_Thursday,-0.1691
Search,campaign_type,60,0.5,dow_Tuesday,0.1744
Search,campaign_type,60,0.5,dow_Wednesday,-0.876
Search,campaign_type,60,0.9,spend,7.2016
Search,campaign_type,60,0.9,spend_lag_1,241.0844
Search,campaign_type,60,0.9,spend_lag_7,327.3726
Search,campaign_type,60,0.9,spend_lag_14,70.0929
Search,campaign_type,60,0.9,spend_rolling_mean_7d,533.0868
Search,campaign_type,60,0.9,spend_rolling_mean_14d,0.6363
Search,campaign_type,60,0.9,spend_rolling_mean_30d,0.0
Search,campaign_type,60,0.9,revenue_rolling_mean_7d,112.7079
Search,campaign_type,60,0.9,revenue_rolling_mean_14d,112.4837
Search,campaign_type,60,0.9,revenue_rolling_mean_30d,236.6127
Search,campaign_type,60,0.9,spend_share_of_total,161.3709
Search,campaign_type,60,0.9,days_since_start,0.0
Search,campaign_type,60,0.9,month_sin,0.0
Search,campaign_type,60,0.9,month_cos,0.0
Search,campaign_type,60,0.9,dayofmonth_sin,-83.8609
Search,campaign_type,60,0.9,dayofmonth_cos,15.1174
Search,campaign_type,60,0.9,is_weekend,-0.2872
Search,campaign_type,60,0.9,target_spend_60d,1558.2483
Search,campaign_type,60,0.9,dow_Monday,0.1987
Search,campaign_type,60,0.9,dow_Saturday,-1.0345
Search,campaign_type,60,0.9,dow_Sunday,-0.6453
Search,campaign_type,60,0.9,dow_Thursday,0.0
Search,campaign_type,60,0.9,dow_Tuesday,0.0
Search,campaign_type,60,0.9,dow_Wednesday,0.2631
