grain,level,log_a,log_b,log_r2,power_a,power_b,power_r2,hill_Vmax,hill_K,hill_n,hill_r2
Bing Ads,platform,243.3894084305056,0.016108757153985846,0.2633629256616865,11.289547340413817,0.6477267213704933,0.26304492772521393,1031.2284263227957,441.351594057477,0.8370709633263799,0.2656738410779417
Google Ads,platform,12753.49478912301,0.00018400026221078615,0.836680879045268,23.10935678173888,0.6783002895323136,0.8436707930083703,143249.767401908,246801.79802972884,0.7371361986648441,0.8451038823778675
Meta Ads,platform,1442.8266501268108,0.001616562867734016,0.672973478428727,9.529074993995634,0.7102278455168874,0.6574193875607715,2808.0690920490715,892.9320790515794,1.2391309859872413,0.6798406880197916
Search,campaign_type,5222.077573449976,0.0009677421571105887,0.7486042135526336,25.30587468930006,0.7020371876823143,0.7434272934060326,18288.2363993048,4913.602166616483,0.907097143872557,0.7497510366906506
Pmax,campaign_type,8777.32244837864,0.00014736184071877171,0.8522167298951179,7.985519685728743,0.7422896615359363,0.8730412534995264,841239165.3189027,64250665876.13416,0.7422945334824885,0.8730410242145075
Shopping,campaign_type,6939.72557013428,0.0003897096602946759,0.8878854083070993,40.47275846487944,0.5930386628826498,0.897639323792971,57216.73998156128,89152.69694160052,0.696017394978849,0.9028111453774011
Remarketing_DPA,campaign_type,917.8211293581189,0.003787748764993058,0.6679428906888146,10.663253354566272,0.712460174317316,0.6455894481959317,1686.022828602087,322.62453335878416,1.364946388097431,0.6822960513125749
Remarketing_Brand,campaign_type,447.4539014625655,0.009008811852035855,0.29296437010074905,7.558643426990398,0.7831164963573298,0.3043302371918226,18862130.67298604,147443439.57433978,0.7831294952239587,0.3043293460319707
